,title,date,location,year,used,kms,import,style,gearBox,fuelEngine,exterior,interior,seats,doors,motivated,url
3940,Xe BMW X6 xDrive40i M Sport 2022- 3 Tỷ 779 Triệu,Đăng ngày  9/11/2023. Xem 12 lượt,"BMW Long Biên  Điện thoại:  0931 676 777   Địa chỉ: Số 1 Ngô Gia Tự, Long Biên Hà Nội  Website: bmwlongbien.bonbanh.com",2022,Xe mới,,Nhập khẩu,SUV,Số tự động,Xăng  3.0 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-bmw-x6-xdrive40i-m-sport-2022-4872268
3941,Xe Suzuki Super Carry Van Blind Van 2023- 299 Triệu,Đăng ngày  9/11/2023. Xem 18 lượt,"Suzuki Sài Gòn Ngôi Sao  Điện thoại:  0906 612 900   Địa chỉ: 510 Quốc lộ 13, P. Hiệp Bình Phuớc, Q. Thủ Đức TP HCM  Website: suzukisaigonngoisao.bonbanh.com",2023,Xe mới,,Lắp ráp trong nước,Van/Minivan,Số tay,Xăng  1.0 L,Trắng,,2 chỗ,0 cửa,,https://bonbanh.com/xe-suzuki-super_carry_van-blind-van-2023-5032043
3942,Xe Suzuki Super Carry Van Blind Van 2009- 117 Triệu,Đăng ngày  9/11/2023. Xem 18 lượt,"Ô tô Minh Phát  Điện thoại:  0906 592 288   Địa chỉ: 115 - 117  Phạm Văn Đồng, Tp. Buôn Ma Thuột Đăk Lăk  Website: otominhphat.bonbanh.com",2009,Xe đã dùng,"100,000 Km",Lắp ráp trong nước,Van/Minivan,Số tay,Xăng  1.0 L,Trắng,,2 chỗ,5 cửa,,https://bonbanh.com/xe-suzuki-super_carry_van-blind-van-2009-5231557
3943,Xe Kia Cerato 1.6 MT 2018- 360 Triệu,Đăng ngày  9/11/2023. Xem 10 lượt,Nguyen quan Ha  Điện thoại:     Địa chỉ: Thanh pho thanh hoa Thanh Hóa,2018,Xe đã dùng,9 Km,Lắp ráp trong nước,Sedan,Số tay,Xăng  1.6 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-kia-cerato-1.6-mt-2018-5245358
3944,Xe Toyota Camry 2.5Q 2015- 635 Triệu,Đăng ngày 10/11/2023. Xem 1 lượt,"Nhật Minh Auto  Điện thoại:  0988 870 588    Hoặc  0904 307 763    Địa chỉ: 99 Nguyễn Chánh, Trung Hòa, Cầu Giấy Hà Nội  Website: nhatminhauto.bonbanh.com",2015,Xe đã dùng,"90,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.5 L,Vàng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-toyota-camry-2.5q-2015-5020348
3945,Xe Kia Carens SXMT 2012- 245 Triệu,Đăng ngày  9/11/2023. Xem 8 lượt,"Salon Ô Tô Trung Hiếu  Điện thoại:  0918 647 120    Hoặc  0979 074 079    Địa chỉ: 154 Trần Phú, Lộc Sơn, Bảo Lộc Lâm Đồng  Website: ototrunghieu-lamdong.bonbanh.com",2012,Xe đã dùng,120 Km,Lắp ráp trong nước,Crossover,Số tay,Xăng  2.0 L,Bạc,,7 chỗ,5 cửa,,https://bonbanh.com/xe-kia-carens-sxmt-2012-5289696
3946,Xe Kia Soluto 1.4 MT Deluxe 2019- 305 Triệu,Đăng ngày  9/11/2023. Xem 12 lượt,"Gia Nguyên Auto  Điện thoại:  0982 020 191    Hoặc  0973 533 366    Địa chỉ: 116 Nguyễn Văn Cừ, Long Biên Hà Nội  Website: gianguyenauto.bonbanh.com",2019,Xe đã dùng,"43,000 Km",Lắp ráp trong nước,Sedan,Số tay,Xăng  1.4 L,Đỏ,,5 chỗ,4 cửa,,https://bonbanh.com/xe-kia-soluto-1.4-mt-deluxe-2019-5262279
3947,Xe Lexus LS 600hL 2008- 980 Triệu,Đăng ngày 10/11/2023. Xem 5 lượt,"Kaizen Auto Service  Điện thoại:  0931 831 919   Địa chỉ: 332, Nguyễn Thị Đặng, P. Tân Thới Hiệp , Q.12 TP HCM  Website: kaizenautoservice.bonbanh.com",2008,Xe đã dùng,"125,000 Km",Nhập khẩu,Sedan,Số tự động,Hybrid  5.0 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-lexus-ls-600hl-2008-5167243
3948,Xe Kia Morning SX 1.1 AT 2009- 158 Triệu,Đăng ngày  9/11/2023. Xem 10 lượt,"Salon Auto Điện Ô Tô Tâm  Điện thoại:  0965 666 777   Địa chỉ: 672 Quốc lộ 20, Thị trấn Liên Nghĩa, Huyện Đức Trọng Lâm Đồng  Website: dienoto-tam.bonbanh.com",2009,Xe đã dùng,0 Km,Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.1 L,Xanh,,5 chỗ,5 cửa,,https://bonbanh.com/xe-kia-morning-sx-1.1-at-2009-5165932
3949,Xe Toyota Vios E 1.5 MT 2022- 425 Triệu,Đăng ngày  9/11/2023. Xem 7 lượt,"Xe hơi Đất Quảng  Điện thoại:  0979 166 555    Hoặc  0988 686 670    Địa chỉ: Khu Cát Thành, P.Minh Thành, Tx.Quảng Yên Quảng Ninh  Website: xehoidatquang.bonbanh.com",2022,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Số tay,Xăng  1.5 L,Đen,,5 chỗ,4 cửa,,https://bonbanh.com/xe-toyota-vios-e-1.5-mt-2022-5172107
3950,Xe Toyota Vios G 1.5 CVT 2023- 550 Triệu,Đăng ngày  9/11/2023. Xem 8 lượt,"Toyota Hùng Vương  Điện thoại:  0938 886 016   Địa chỉ: 26 Kinh Dương Vương , phường 13 , quận 6 TP HCM  Website: toyotahungvuong.bonbanh.com",2023,Xe mới,,Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Bạc,,5 chỗ,4 cửa,,https://bonbanh.com/xe-toyota-vios-g-1.5-cvt-2023-4981577
3951,Xe Toyota Camry 2.4G 2012- 435 Triệu,Đăng ngày 10/11/2023. Xem 8 lượt,"Ô Tô Hà Nội  Điện thoại:  0902 291 191   Địa chỉ: B6C, ngõ 25 Nguyễn Chánh, Cầu Giấy Hà Nội  Website: otohanoi.bonbanh.com",2012,Xe đã dùng,"140,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.4 L,Đen,,5 chỗ,4 cửa,,https://bonbanh.com/xe-toyota-camry-2.4g-2012-5101291
3952,Xe Mazda CX5 Premium Exclusive 2.0 AT 2023- 869 Triệu,Đăng ngày  9/11/2023. Xem 11 lượt,"Diểm My  Điện thoại:     Địa chỉ: 314 Nguyễn Văn Linh, P Bình Thuận, Quận 7 TP HCM   Xem gian hàng  ⇨",2023,Xe mới,,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Xanh,,5 chỗ,5 cửa,,https://bonbanh.com/xe-mazda-cx5-premium-exclusive-2.0-at-2023-5179513
3953,Xe BMW Z4 sDrive30i M Sport 2020- 2 Tỷ 459 Triệu,Đăng ngày  9/11/2023. Xem 10 lượt,"Mạc Đức Thành  Điện thoại:     Địa chỉ: 2 bis Nguyễn Huy Điển, Phường 7, Q. Gò Vấp TP HCM   Xem gian hàng  ⇨",2020,Xe đã dùng,"28,968 Km",Nhập khẩu,Convertible/Cabriolet,Số tự động,Xăng  2.0 L,Đỏ,,2 chỗ,2 cửa,,https://bonbanh.com/xe-bmw-z4-sdrive30i-m-sport-2020-5226471
3954,Xe Mercedes Benz E class E300 AMG 2022- 2 Tỷ 238 Triệu,Đăng ngày  9/11/2023. Xem 5 lượt,"Hà Tấn Phát  Điện thoại:     Địa chỉ: 290 Nguyễn Văn Linh, Quận 7 TP HCM   Xem gian hàng  ⇨",2022,Xe đã dùng,"12,222 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mercedes_benz-e_class-e300-amg-2022-5289684
3955,Xe Kia Morning Si AT 2016- 270 Triệu,Đăng ngày  9/11/2023. Xem 15 lượt,"Hùng Anh Auto - Hải Phòng  Điện thoại:  0936 674 368   Địa chỉ: 77 Nguyễn Bỉnh Khiêm , P Đằng Giang, Ngô Quyền Hải Phòng  Website: autohunganhhp.bonbanh.com",2016,Xe đã dùng,"50,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.25 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-kia-morning-si-at-2016-5276008
3956,Xe LandRover Range Rover Vogue 3.0 Td6 2015- 3 Tỷ 390 Triệu,Đăng ngày 10/11/2023. Xem 6 lượt,"Salon Auto An Phú Đạt  Điện thoại:  0904 696 666    Hoặc  0986 191 266    Địa chỉ: 160 Nguyễn Văn Cừ, Long Biên Hà Nội  Website: autoanphudat.bonbanh.com",2015,Xe đã dùng,"56,000 Km",Nhập khẩu,SUV,Số tự động,Dầu  3.0 L,Đen,,5 chỗ,5 cửa,,https://bonbanh.com/xe-landrover-range_rover-vogue-3.0-td6-2015-5069026
3957,Xe Kia Cerato 1.6 AT 2010- 259 Triệu,Đăng ngày  9/11/2023. Xem 9 lượt,"Auto Hoàng Minh  Điện thoại:  0964 758 888    Hoặc  0969 277 777    Địa chỉ: 40/2/30 Trần Thị Do, phường Hiệp Thành, quận 12 TP HCM  Website: autohoangminh.bonbanh.com",2010,Xe đã dùng,"68,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  1.6 L,Xám,,5 chỗ,4 cửa,,https://bonbanh.com/xe-kia-cerato-1.6-at-2010-5192803
3958,Xe Ford EcoSport Trend 1.5L MT 2017- 328 Triệu,Đăng ngày  9/11/2023. Xem 15 lượt,"Salon Ôtô Hạnh Huyên  Điện thoại:  0987 838 301   Địa chỉ: Khám Lạng, Lục Nam Bắc Giang  Website: otohanhhuyen.bonbanh.com",2017,Xe đã dùng,"86,328 Km",Lắp ráp trong nước,SUV,Số tay,Xăng  1.5 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-ford-ecosport-trend-1.5l-mt-2017-5193850
3959,Xe Mercedes Benz C class C200 2017- 750 Triệu,Đăng ngày 10/11/2023. Xem 7 lượt,"Auto Car  Điện thoại:  0901 596 666   Địa chỉ: 210 Võ Chí Công, Xuân La, Tây Hồ Hà Nội  Website: autocar.bonbanh.com",2017,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mercedes_benz-c_class-c200-2017-5087912
3960,Xe Mercedes Benz C class C200 2017- 750 Triệu,Đăng ngày 10/11/2023. Xem 7 lượt,"Auto Car  Điện thoại:  0901 596 666   Địa chỉ: 210 Võ Chí Công, Xuân La, Tây Hồ Hà Nội  Website: autocar.bonbanh.com",2017,Xe đã dùng,0 Km,Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mercedes_benz-c_class-c200-2017-5087912
3961,Xe Hyundai Tucson 2.0 ATH 2016- 598 Triệu,Đăng ngày  9/11/2023. Xem 25 lượt,Ngọc Cường  Điện thoại:     Địa chỉ: 26 mỹ đình Hà Nội,2016,Xe đã dùng,"6,000 Km",Nhập khẩu,Crossover,Số tự động,Xăng  2.0 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-hyundai-tucson-2.0-ath-2016-5288156
3962,Xe VinFast Lux A 2.0 2.0 AT 2021- 585 Triệu,Đăng ngày 10/11/2023. Xem 4 lượt,"Auto 269  Điện thoại:  0949 675 555    Hoặc  0961 746 666    Địa chỉ: 269 Phạm Văn Đồng , Bắc Từ Liêm Hà Nội  Website: auto269.bonbanh.com",2021,Xe đã dùng,"18,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Đen,,5 chỗ,4 cửa,,https://bonbanh.com/xe-vinfast-lux_a_2.0-2.0-at-2021-5270937
3963,Xe Mazda CX5 Luxury 2.0 AT 2023- 759 Triệu,Đăng ngày  9/11/2023. Xem 10 lượt,Mr Hải  Điện thoại:     Địa chỉ: Hà Nội Hà Nội   Xem gian hàng  ⇨,2023,Xe mới,,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Xanh,,5 chỗ,5 cửa,,https://bonbanh.com/xe-mazda-cx5-luxury-2.0-at-2023-4878770
3964,Xe Mercedes Benz C class C180 AMG 2020- 1 Tỷ 39 Triệu,Đăng ngày  9/11/2023. Xem 8 lượt,"Việt Cường Auto  Điện thoại:  0522 395 555    Hoặc  0977 639 999    Địa chỉ: 317 Phạm Văn Đồng, phường Xuân Đỉnh, quận Bắc Từ Liêm Hà Nội  Website: vietcuong-auto.bonbanh.com",2020,Xe đã dùng,"12,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Xám,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mercedes_benz-c_class-c180-amg-2020-5237187
3965,Xe Lexus RX 300 2020- 2 Tỷ 870 Triệu,Đăng ngày  9/11/2023. Xem 5 lượt,Nguyễn Văn Lưu  Điện thoại:     Địa chỉ: Cầu Giấy Hà Nội   Xem gian hàng  ⇨,2020,Xe đã dùng,0 Km,Nhập khẩu,SUV,Số tự động,Xăng  2.0 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-lexus-rx-300-2020-5258952
3966,Xe BMW Z4 sDrive30i M Sport 2021- 2 Tỷ 600 Triệu,Đăng ngày  9/11/2023. Xem 10 lượt,Mr Hoài  Điện thoại:     Địa chỉ: 99 Thành Thái - Dịch Vọng - Cầu Giấy Hà Nội   Xem gian hàng  ⇨,2021,Xe đã dùng,"7,000 Km",Nhập khẩu,Convertible/Cabriolet,Số tự động,Xăng  2.0 L,Đỏ,,2 chỗ,2 cửa,,https://bonbanh.com/xe-bmw-z4-sdrive30i-m-sport-2021-5147119
3967,Xe Honda City RS 1.5 AT 2021- 485 Triệu,Đăng ngày  9/11/2023. Xem 12 lượt,Tuấn Mỳ Auto  Điện thoại:  0969 806 688    Hoặc  0905 936 688    Địa chỉ: 90 Nguyễn Văn Cừ - Long Biên Hà Nội  Website: tuanmyauto.bonbanh.com,2021,Xe đã dùng,"60,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Đỏ,,5 chỗ,4 cửa,,https://bonbanh.com/xe-honda-city-rs-1.5-at-2021-5239755
3968,Xe Kia Morning Luxury 2019- 315 Triệu,Đăng ngày 10/11/2023. Xem 5 lượt,"Salon Ô tô Thư Lý  Điện thoại:  0969 190 577   Địa chỉ: Số 53 Tổ 25, Phường Đồng Tiến, Tp Hòa Bình Hòa Bình  Website: otothuly.bonbanh.com",2019,Xe đã dùng,"22,000 Km",Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.25 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-kia-morning-luxury-2019-5163470
3969,Xe Mercedes Benz E class E200 2017- 999 Triệu,Đăng ngày  9/11/2023. Xem 11 lượt,"Việt Cường Auto  Điện thoại:  0522 395 555    Hoặc  0977 639 999    Địa chỉ: 317 Phạm Văn Đồng, phường Xuân Đỉnh, quận Bắc Từ Liêm Hà Nội  Website: vietcuong-auto.bonbanh.com",2017,Xe đã dùng,"80,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Đen,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mercedes_benz-e_class-e200-2017-5285191
3970,Xe Toyota Corolla altis 1.8G AT 2017- 485 Triệu,Đăng ngày  9/11/2023. Xem 7 lượt,Ô tô Ánh Lý - CN Lào Cai  Điện thoại:  0965 283 888    Hoặc  0369 136 666    Địa chỉ: 729 Đường Trần Phú - P. Nam Cường - TP Lào Cai Lào Cai  Website: otoanhly-laocai.bonbanh.com,2017,Xe đã dùng,"120,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.8 L,Nâu,,5 chỗ,4 cửa,,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-at-2017-5167275
3971,Xe Hyundai Accent 1.4 AT Đặc Biệt 2022- 520 Triệu,Đăng ngày  9/11/2023. Xem 12 lượt,"Trần Ngọc Tuyền  Điện thoại:     Địa chỉ: 366 Võ Chí Công, Tây Hồ Hà Nội   Xem gian hàng  ⇨",2022,Xe đã dùng,"9,300 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.4 L,Đỏ,,5 chỗ,4 cửa,,https://bonbanh.com/xe-hyundai-accent-1.4-at-dac-biet-2022-5289674
3972,Xe Kia Sedona 2.2L DATH 2017- 695 Triệu,Đăng ngày  9/11/2023. Xem 20 lượt,"Sỹ Mai Auto  Điện thoại:  0769 999 555   Địa chỉ: 943 Quang Trung, Phú Lãm, Hà Đông Hà Nội  Website: symaiauto.bonbanh.com",2017,Xe đã dùng,"120,000 Km",Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu  2.2 L,Đen,,7 chỗ,5 cửa,,https://bonbanh.com/xe-kia-sedona-2.2l-dath-2017-5287284
3973,Xe Toyota Innova 2.0G 2014- 335 Triệu,Đăng ngày  9/11/2023. Xem 24 lượt,Hà Hưng  Điện thoại:      Hoặc  0974 835 555    Địa chỉ: Nguyễn Chánh - Cầu Giấy Hà Nội   Xem gian hàng  ⇨,2014,Xe đã dùng,"140,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  2.0 L,Bạc,,8 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-innova-2.0g-2014-5289699
3974,Xe Hyundai i10 Grand 1.0 MT 2016- 250 Triệu,Đăng ngày 10/11/2023. Xem 5 lượt,"Salon Ô tô Thế Hùng  Điện thoại:  0918 242 875   Địa chỉ: Số 9 thôn Đông Bình, ấp Bùi Chu, xã Bắc Sơn, Trảng Bom Đồng Nai  Website: otothehung.bonbanh.com",2016,Xe đã dùng,"70,000 Km",Nhập khẩu,Hatchback,Số tay,Xăng  1.0 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-hyundai-i10-grand-1.0-mt-2016-5004521
3975,Xe Ford Ranger Wildtrak 2.0L 4x4 AT 2023- 879 Triệu,Đăng ngày  9/11/2023. Xem 7 lượt,"HT Auto Thái Nguyên  Điện thoại:  0977 628 888    Hoặc  0985 238 888    Địa chỉ: 602 Đường Lương Ngọc Quyến , TP. Thái Nguyên Thái Nguyên  Website: htauto-thainguyen.bonbanh.com",2023,Xe đã dùng,"3,000 Km",Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu  2.0 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2023-5273889
3976,Xe LandRover Range Rover HSE 3.0 2016- 3 Tỷ 530 Triệu,Đăng ngày  9/11/2023. Xem 9 lượt,"Giang Anh  Điện thoại:     Địa chỉ: Số 3 Nguyễn Văn Huyên, Cầu Giấy Hà Nội   Xem gian hàng  ⇨",2016,Xe đã dùng,"32,180 Km",Nhập khẩu,SUV,Số tự động,Xăng  3.0 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-landrover-range_rover-hse-3.0-2016-5236656
3977,Xe Hyundai SantaFe SLX 2008- 369 Triệu,Đăng ngày  9/11/2023. Xem 12 lượt,"Huy Long Auto  Điện thoại:  0973 947 165   Địa chỉ: 389A Nguyễn Xiển, P.Đại Kim, Q.Hoàng Mai Hà Nội  Website: huylongauto.bonbanh.com",2008,Xe đã dùng,"150,000 Km",Nhập khẩu,SUV,Số tự động,Dầu  2.0 L,Nâu,,7 chỗ,5 cửa,,https://bonbanh.com/xe-hyundai-santafe-slx-2008-5235383
3978,Xe MG 5 Luxury 1.5 AT 2022- 460 Triệu,Đăng ngày  9/11/2023. Xem 5 lượt,"Ms Thúy  Điện thoại:     Địa chỉ: 43 Lê Văn Lương , Thanh Xuân Hà Nội   Xem gian hàng  ⇨",2022,Xe mới,,Nhập khẩu,Sedan,Số tự động,Xăng  1.5 L,Trắng,,5 chỗ,0 cửa,,https://bonbanh.com/xe-mg-5-luxury-1.5-at-2022-5254508
3979,Xe Toyota Land Cruiser VX 4.6 V8 2014- 2 Tỷ 200 Triệu,Đăng ngày  9/11/2023. Xem 14 lượt,Trung tâm ô tô V75 - Xe đã qua sử Dụng  Điện thoại:  0986 335 890    Hoặc  0356 400 000    Địa chỉ: Số 26 Cầu Diễn (Đối diện chợ Cầu Diễn) Hà Nội  Website: otov75.bonbanh.com,2014,Xe đã dùng,"120,000 Km",Nhập khẩu,SUV,Số tự động,Xăng  4.6 L,Đen,,8 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-land_cruiser-vx-4.6-v8-2014-5177540
3980,Xe Toyota Fortuner 2.7V 4x2 AT 2014- 480 Triệu,Đăng ngày  9/11/2023. Xem 12 lượt,"Ô tô Hòa Bình  Điện thoại:  0933 086 666    Hoặc  0913 372 197    Địa chỉ: 112 Lê Văn Lương, Thanh Xuân Hà Nội  Website: otohoabinh.bonbanh.com",2014,Xe đã dùng,0 Km,Lắp ráp trong nước,SUV,Số tự động,Xăng  2.7 L,Bạc,,7 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-fortuner-2.7v-4x2-at-2014-5187621
3981,Xe Nissan Almera VL 1.0 CVT Cao cấp 2022- 465 Triệu,Đăng ngày  9/11/2023. Xem 27 lượt,"Thành Đạt Auto  Điện thoại:  0944 260 995   Địa chỉ: 528 Nguyễn Văn Cừ, Long Biên Hà Nội  Website: thanhdatauto.bonbanh.com",2022,Xe đã dùng,"7,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  1.0 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-nissan-almera-vl-1.0-cvt-cao-cap-2022-5267346
3982,Xe Hyundai Tucson 2.0 AT Tiêu chuẩn 2021- 659 Triệu,Đăng ngày 10/11/2023. Xem 4 lượt,"Mr Triệu  Điện thoại:     Địa chỉ: Toà nhà Tasco, Lô Hh 2-2, Đường Phạm Hùng Hà Nội   Xem gian hàng  ⇨",2021,Xe đã dùng,"64,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  2.0 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-hyundai-tucson-2.0-at-tieu-chuan-2021-5286673
3983,Xe Mazda 3 1.5L Luxury 2022- 559 Triệu,Đăng ngày 10/11/2023. Xem 4 lượt,"Mr Triệu  Điện thoại:     Địa chỉ: Toà nhà Tasco, Lô Hh 2-2, Đường Phạm Hùng Hà Nội   Xem gian hàng  ⇨",2022,Xe đã dùng,"44,700 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Đen,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mazda-3-1.5l-luxury-2022-5287424
3984,Xe Kia Sportage Signature 1.6T AWD 2022- 940 Triệu,Đăng ngày 10/11/2023. Xem 4 lượt,"Mr Triệu  Điện thoại:     Địa chỉ: Toà nhà Tasco, Lô Hh 2-2, Đường Phạm Hùng Hà Nội   Xem gian hàng  ⇨",2022,Xe đã dùng,"14,000 Km",Lắp ráp trong nước,Crossover,Số tự động,Xăng  1.6 L,Trắng,,5 chỗ,5 cửa,,https://bonbanh.com/xe-kia-sportage-signature-1.6t-awd-2022-5278781
3985,Xe Mitsubishi Xpander 1.5 AT 2021- 545 Triệu,Đăng ngày 10/11/2023. Xem 4 lượt,"Mr Triệu  Điện thoại:     Địa chỉ: Toà nhà Tasco, Lô Hh 2-2, Đường Phạm Hùng Hà Nội   Xem gian hàng  ⇨",2021,Xe đã dùng,"19,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  1.5 L,Trắng,,7 chỗ,5 cửa,,https://bonbanh.com/xe-mitsubishi-xpander-1.5-at-2021-5289075
3986,Xe Mazda 3 1.5L Sport Luxury 2022- 640 Triệu,Đăng ngày  9/11/2023. Xem 12 lượt,"Long Việt Auto  Điện thoại:  0903 411 619    Hoặc  0983 411 619    Địa chỉ: 100 Lê Văn Lương, Cầu Giấy Hà Nội  Website: longvietauto2.bonbanh.com",2022,Xe đã dùng,700 Km,Lắp ráp trong nước,Hatchback,Số tự động,Xăng  1.5 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-mazda-3-1.5l-sport-luxury-2022-5257524
3987,Xe Mercedes Benz GLC 300 4Matic 2017- 1 Tỷ 30 Triệu,Đăng ngày  9/11/2023. Xem 12 lượt,"Pro Auto  Điện thoại:  0962 060 060   Địa chỉ: 388 Phạm Văn Đồng, Cổ Nhuế, Bắc Từ Liêm Hà Nội  Website: proauto.bonbanh.com",2017,Xe đã dùng,"72,405 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Đỏ,,5 chỗ,5 cửa,,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2017-5280542
3988,Xe Mercedes Benz GLC 300 4Matic 2018- 1 Tỷ 199 Triệu,Đăng ngày  9/11/2023. Xem 8 lượt,"Auto Trúc Anh  Điện thoại:  0962 226 268    Hoặc  0989 333 699    Địa chỉ: Số 115 Lê Văn Lương, Thanh Xuân Hà Nội  Website: autotrucanh.bonbanh.com",2018,Xe đã dùng,"60,000 Km",Lắp ráp trong nước,SUV,Số tự động,Xăng  2.0 L,Xanh,,5 chỗ,5 cửa,,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2018-5276816
3989,Xe Toyota Innova 2.0E 2017- 486 Triệu,Đăng ngày  9/11/2023. Xem 10 lượt,"Auto 596  Điện thoại:  0945 636 838    Hoặc  0982 726 636    Địa chỉ: 23 Vũ Đức Thận,  Long Biên Hà Nội  Website: auto596.bonbanh.com",2017,Xe đã dùng,"92,000 Km",Lắp ráp trong nước,Crossover,Số tay,Xăng  2.0 L,Bạc,,8 chỗ,5 cửa,,https://bonbanh.com/xe-toyota-innova-2.0e-2017-5082026
3990,Xe VinFast Lux A 2.0 Nâng cao 2022- 635 Triệu,Đăng ngày  9/11/2023. Xem 20 lượt,"Bảo Tín Auto  Điện thoại:  0976 236 666   Địa chỉ: Số 10 Ngõ 1 Dịch Vọng Hậu , Cầu Giấy Hà Nội  Website: baotinauto.bonbanh.com",2022,Xe đã dùng,"44,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  2.0 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-vinfast-lux_a_2.0-nang-cao-2022-5248346
3991,Xe BMW 5 Series 528i GT 2016- 990 Triệu,Đăng ngày  9/11/2023. Xem 10 lượt,"Phát Lộc Auto  Điện thoại:  0941 768 888    Hoặc  0765 158 888    Địa chỉ: Số 116 Lê Văn Lương, Nhân Chính, Thanh Xuân Hà Nội  Website: phatlocauto.bonbanh.com",2016,Xe đã dùng,"70,000 Km",Nhập khẩu,Sedan,Số tự động,Xăng  2.0 L,Xám,,5 chỗ,4 cửa,,https://bonbanh.com/xe-bmw-5_series-528i-gt-2016-5224255
3992,Xe Mazda 3 1.5L Deluxe 2022- 536 Triệu,Đăng ngày 10/11/2023. Xem 4 lượt,"Mr Triệu  Điện thoại:     Địa chỉ: Toà nhà Tasco, Lô Hh 2-2, Đường Phạm Hùng Hà Nội   Xem gian hàng  ⇨",2022,Xe đã dùng,"38,000 Km",Lắp ráp trong nước,Sedan,Số tự động,Xăng  1.5 L,Trắng,,5 chỗ,4 cửa,,https://bonbanh.com/xe-mazda-3-1.5l-deluxe-2022-5275047
3993,Xe Ford Ranger XLS 2.2L 4x2 AT 2022- 534 Triệu,Đăng ngày 10/11/2023. Xem 4 lượt,"Mr Triệu  Điện thoại:     Địa chỉ: Toà nhà Tasco, Lô Hh 2-2, Đường Phạm Hùng Hà Nội   Xem gian hàng  ⇨",2022,Xe đã dùng,"47,000 Km",Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu  2.2 L,Đỏ,,5 chỗ,4 cửa,,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2022-5251450
